Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Random oversampling (ROS),O-RF,ATTD & PBC & SN,32,0.8798 ± 0.0298,0.8544 ± 0.0393,0.8438 ± 0.0478,0.8453 ± 0.0387,25
Random oversampling (ROS),O-RF,ATTD & PBC,28,0.8719 ± 0.0295,0.8419 ± 0.0375,0.8364 ± 0.0450,0.8362 ± 0.0384,25
Random oversampling (ROS),O-RF,ATTD & SN,28,0.8571 ± 0.0255,0.8298 ± 0.0429,0.8059 ± 0.0435,0.8123 ± 0.0354,25
Random oversampling (ROS),O-RF,PBC & SN,28,0.8651 ± 0.0223,0.8353 ± 0.0265,0.8221 ± 0.0438,0.8249 ± 0.0323,25
Random oversampling (ROS),O-RF,ATTD,24,0.8331 ± 0.0341,0.7927 ± 0.0432,0.7849 ± 0.0498,0.7856 ± 0.0449,25
Random oversampling (ROS),O-RF,PBC,24,0.8516 ± 0.0322,0.8167 ± 0.0425,0.8110 ± 0.0450,0.8107 ± 0.0399,25
Random oversampling (ROS),O-RF,SN,24,0.8294 ± 0.0334,0.7898 ± 0.0434,0.7700 ± 0.0509,0.7758 ± 0.0465,25
Random oversampling (ROS),O-SVM,ATTD & PBC & SN,32,0.8786 ± 0.0257,0.8474 ± 0.0366,0.8573 ± 0.0394,0.8487 ± 0.0323,25
Random oversampling (ROS),O-SVM,ATTD & PBC,28,0.8541 ± 0.0321,0.8160 ± 0.0391,0.8293 ± 0.0443,0.8193 ± 0.0385,25
Random oversampling (ROS),O-SVM,ATTD & SN,28,0.8626 ± 0.0311,0.8291 ± 0.0382,0.8277 ± 0.0507,0.8249 ± 0.0434,25
Random oversampling (ROS),O-SVM,PBC & SN,28,0.8663 ± 0.0317,0.8322 ± 0.0395,0.8496 ± 0.0344,0.8365 ± 0.0346,25
Random oversampling (ROS),O-SVM,ATTD,24,0.8399 ± 0.0365,0.8007 ± 0.0483,0.7980 ± 0.0593,0.7952 ± 0.0512,25
Random oversampling (ROS),O-SVM,PBC,24,0.8307 ± 0.0424,0.7898 ± 0.0472,0.8104 ± 0.0493,0.7948 ± 0.0471,25
Random oversampling (ROS),O-SVM,SN,24,0.8319 ± 0.0300,0.7914 ± 0.0415,0.7865 ± 0.0456,0.7853 ± 0.0409,25
